title,vals,rating
The Element Encyclopedia of the Celts,1,5.0
The Element Encyclopedia of Birthdays,23,4.826086956521739
The Element Encyclopedia of Witchcraft: The Complete A-Z for the Entire Magical World,19,4.7894736842105265
"The Element Encyclopedia of 20,000 Dreams: The Ultimate A-Z to Interpret the Secrets of Your Dreams",20,4.5
Element Encyclopedia of Secret Signs and Symbols: The Ultimate A-Z Guide from Alchemy to the Zodiac,17,4.411764705882353
Element Encyclopedia of Magical Creatures: The Ultimate A-Z of Fantastic Beings from Myth and Magic,29,4.206896551724138
The Element Encyclopedia of Secret Societies and Hidden History,1,4.0
"Element Encyclopedia of Ghosts and Hauntings: The Ultimate A-Z of Spirits, Mysteries and the Paranormal",2,3.5
THE ELEMENT ENCYCLOPEDIA OF SECRET SIGNS AND SYMBOLS The Ultimate A - Z Guide From Alchemy To The Zodiac,0,
Element Encyclopedia of Fairies,0,
Element Encyclopedia 20000 Dreams,0,
The Element Encyclopedia of Secret Societies,0,
"The Element Encyclopedia of Native Americans: The Ultimate A-Z of the Tribes, Symbols, and Wisdom of the Native Americans of North America",0,
